open_time,open,high,low,close,volume
2025-06-17 01:32:00,386.34,386.39,385.18,385.42,141389.75205
2025-06-17 01:33:00,385.38,385.65,385.18,385.40,46555.66948
2025-06-17 01:34:00,385.41,385.62,385.19,385.62,44871.87617
2025-06-17 01:35:00,385.64,385.67,385.21,385.23,90750.30425
2025-06-17 01:36:00,385.24,385.26,383.00,383.65,761951.98180
2025-06-17 01:37:00,383.64,383.77,382.50,382.79,233794.81404
2025-06-17 01:38:00,382.81,382.94,381.49,382.04,354534.68666
2025-06-17 01:39:00,382.03,382.06,380.94,381.31,370434.89347
2025-06-17 01:40:00,381.29,381.30,379.79,380.48,314495.91330
2025-06-17 01:41:00,380.47,380.47,378.02,378.43,851634.71930
2025-06-17 01:42:00,378.43,378.43,376.91,377.28,657273.30912
2025-06-17 01:43:00,377.38,377.75,376.14,377.65,581129.62320
2025-06-17 01:44:00,377.65,377.65,373.74,373.95,1199576.44030
2025-06-17 01:45:00,373.95,375.30,373.94,374.70,986660.01669
2025-06-17 01:46:00,374.74,375.89,373.52,375.59,621187.33107
2025-06-17 01:47:00,375.54,375.76,374.00,374.17,324642.03424
2025-06-17 01:48:00,374.14,374.70,373.44,373.94,336872.00314
2025-06-17 01:49:00,373.97,373.98,370.93,371.40,984492.80712
2025-06-17 01:50:00,371.39,372.04,370.60,371.54,769373.10469
2025-06-17 01:51:00,371.51,372.26,370.70,372.02,391749.49890
2025-06-17 01:52:00,372.05,373.28,371.58,373.21,336100.92841
2025-06-17 01:53:00,373.16,374.19,373.06,373.87,250853.84640
2025-06-17 01:54:00,373.82,374.91,373.37,374.67,410752.86297
2025-06-17 01:55:00,374.60,375.11,373.76,374.01,268909.74938
2025-06-17 01:56:00,374.00,374.33,373.39,374.00,144246.25732
2025-06-17 01:57:00,373.94,375.43,373.87,375.19,136037.56604
2025-06-17 01:58:00,375.22,375.57,375.03,375.13,165448.07659
2025-06-17 01:59:00,375.10,375.45,374.29,374.53,140738.51948
2025-06-17 02:00:00,374.52,375.25,374.23,375.00,163866.67497
2025-06-17 02:01:00,375.04,375.10,374.03,374.03,94161.47652
2025-06-17 02:02:00,374.03,374.99,372.88,373.59,254562.40910
2025-06-17 02:03:00,373.57,374.92,373.50,374.79,218092.70521
2025-06-17 02:04:00,374.80,376.26,374.79,375.54,181259.98235
2025-06-17 02:05:00,375.48,376.11,375.17,375.71,97930.38276
2025-06-17 02:06:00,375.72,375.75,374.90,375.12,94079.03141
2025-06-17 02:07:00,375.13,375.65,375.13,375.30,131812.88172
2025-06-17 02:08:00,375.25,377.50,375.25,377.29,371716.97039
2025-06-17 02:09:00,377.27,378.81,376.81,377.57,894933.97251
2025-06-17 02:10:00,377.65,377.72,376.76,376.83,75971.71518
2025-06-17 02:11:00,376.87,377.81,376.61,377.03,138852.07643
2025-06-17 02:12:00,377.02,377.92,376.87,377.89,87328.61188
2025-06-17 02:13:00,377.89,378.23,377.49,377.54,159590.81974
2025-06-17 02:14:00,377.53,378.12,377.47,377.72,241549.53435
2025-06-17 02:15:00,377.81,377.99,377.46,377.62,67418.05020
2025-06-17 02:16:00,377.64,378.90,377.64,378.32,128378.89425
2025-06-17 02:17:00,378.30,378.30,376.73,376.94,78573.71795
