,0
0,0.003310771810876682
1,0.015480306489716987
2,0.009597883143166883
3,0.010482774120189043
4,0.019688708306487435
5,0.015661314449453012
6,0.008550086996180664
7,0.009259536111920385
8,0.008048880785558684
9,0.009040746796857731
10,0.009023046836252812
11,0.011823085465128613
12,0.009435196513115142
13,0.00925364603488552
14,0.01793287668158158
15,0.007542354349353029
16,0.006656411970391998
17,0.007782208735010043
18,0.021826556392933346
19,0.008405940348932465
20,0.014059609912575934
21,0.016228668305173426
22,0.012776261176936173
23,0.007433332146014118
24,0.011969803155486054
25,0.008112977450389806
26,0.015284170372839547
27,0.01433146186964973
28,0.02750093038935698
29,0.010502326877082472
30,0.00961092689040466
31,0.009255460427929284
32,0.013478358964042599
33,0.009376364044339544
34,0.014618727907890216
35,0.011742598397167384
36,0.007254278042728443
37,0.0159947474714668
38,0.013473532411850826
39,0.008976594716472329
40,0.009500598053768801
41,0.011201612027676226
42,0.009761255123812984
43,0.039703258907693245
44,0.008253540645259443
45,0.01084192314795507
46,0.00860913253807313
47,0.010204129735857997
48,0.007403675408126791
49,0.011037750676730492
50,0.016279721765131344
51,0.01430428860660117
52,0.012521322061370885
53,0.03491507265580904
54,0.011401059889065304
55,0.005949993561307393
56,0.017735642894380923
57,0.02498824476678421
58,0.009325523088832999
59,0.019723727084943063
60,0.016920017936469172
61,0.012251583405246479
62,0.007447410239776887
63,0.007679824457178391
64,0.010483122945669733
65,0.047747321098766594
66,0.019142564654766773
67,0.016077214694464485
68,0.006958643877800945
69,0.00940725029543791
70,0.01389396483255613
71,0.010133808095646084
72,0.012519241004353974
73,0.01086316510643293
74,0.016220230544529975
75,0.023496649175535168
76,0.013279898583635895
77,0.011699782941539078
78,0.01999074858932645
79,0.01271818021777343
80,0.008948558608920378
81,0.01443839924242281
82,0.009635785812875105
83,0.024470896878466514
84,0.01163514891935002
85,0.022959783472567694
86,0.016454115829445292
87,0.012693378252230844
88,0.007487055179530053
89,0.008743370475201436
90,0.013320840351717022
